"revision","mode","cohorts","threads","interval","median_ms_per_1024_frames","min_ms","max_ms","checksum"
"before","mono","4096","1","1","29.013300","28.793400","31.144100","30728.549643"
"before","mono","4096","1","9","21.689600","21.648500","22.244500","30728.549643"
"before","mono","4096","1","64","20.975900","20.921600","21.431900","30728.549643"
"before","mono","4096","1","256","20.949700","20.911900","23.076400","30728.549643"
"before","mono","4096","1","1024","20.835000","20.809200","21.136800","30728.549643"
"before","stereo","4096","1","1","32.157300","31.970000","34.290800","2922.716741"
"before","stereo","4096","1","9","25.720100","25.662300","25.868300","2922.716741"
"before","stereo","4096","1","64","25.235400","25.091000","27.791500","2922.716741"
"before","stereo","4096","1","256","25.224700","25.120800","25.476300","2922.716741"
"before","stereo","4096","1","1024","25.004300","24.957100","25.151100","2922.716741"
"before","analytic","4096","1","1","40.311200","40.169600","42.478700","101.261286"
"before","analytic","4096","1","9","32.398000","32.381300","32.626800","101.261286"
"before","analytic","4096","1","64","31.860100","31.828000","34.591900","101.261286"
"before","analytic","4096","1","256","31.627000","31.550900","34.039300","101.261286"
"before","analytic","4096","1","1024","31.428500","31.374900","33.882900","101.261286"
"after","mono","4096","1","1","28.237100","28.128200","30.259200","30728.549643"
"after","mono","4096","1","9","11.362700","11.201100","11.964200","30728.549643"
"after","mono","4096","1","64","7.948500","7.870400","8.114200","30728.549643"
"after","mono","4096","1","256","7.739700","7.693800","7.781600","30728.549643"
"after","mono","4096","1","1024","7.740700","7.630000","8.054500","30728.549643"
"after","stereo","4096","1","1","31.274900","31.087800","33.469100","2922.716741"
"after","stereo","4096","1","9","14.038200","13.958100","14.100900","2922.716741"
"after","stereo","4096","1","64","10.648100","10.571800","10.713100","2922.716741"
"after","stereo","4096","1","256","10.464600","10.416600","10.530000","2922.716741"
"after","stereo","4096","1","1024","10.474200","10.400200","11.160500","2922.716741"
"after","analytic","4096","1","1","38.347300","38.135800","38.775900","101.261286"
"after","analytic","4096","1","9","32.687700","32.601600","35.124900","101.261286"
"after","analytic","4096","1","64","32.225200","32.183900","32.384000","101.261286"
"after","analytic","4096","1","256","31.600000","31.581600","31.942500","101.261286"
"after","analytic","4096","1","1024","31.495100","31.441500","31.609400","101.261286"
"before","mono","4096","4","1","29.105700","28.969000","33.457700","30728.549643"
"before","mono","4096","4","9","8.346000","7.129200","9.338900","30728.550628"
"before","mono","4096","4","64","6.588300","5.871400","7.003100","30728.550628"
"before","mono","4096","4","256","5.841300","5.546300","6.168600","30728.550628"
"before","mono","4096","4","1024","5.876700","5.383400","6.557000","30728.550628"
"before","stereo","4096","4","1","32.371200","32.257800","32.625900","2922.716741"
"before","stereo","4096","4","9","8.988800","7.855500","9.701400","2922.717373"
"before","stereo","4096","4","64","7.260500","6.775700","7.794100","2922.717373"
"before","stereo","4096","4","256","6.809900","6.632100","8.432600","2922.717373"
"before","stereo","4096","4","1024","6.763400","6.506200","6.979800","2922.717373"
"before","analytic","4096","4","1","41.309200","41.000700","41.515200","101.261286"
"before","analytic","4096","4","9","11.130400","10.509400","11.843900","101.261182"
"before","analytic","4096","4","64","8.948000","8.540500","9.257100","101.261182"
